query_id,text
Q001,I seem to be unable to make any transactions.
Q002,Problem verifying my account
Q003,Seems like my top-up has failed
Q004,Is it possible to edit my personal details on the app?
Q005,My contactless is non-functional.
Q006,"Hi , I just came to know I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow."
Q007,How do I cancel my transfer?
Q008,Why are all my card payments being declined?
Q009,"I tried using my card today and it's not working, can you help me?"
Q010,How can I change my PIN even though I'm out of the country in Austria at the moment?
Q011,Why is my identity not being verified?
Q012,I've tried using my contactless in several locations today and it's not working anywhere. It seemed fine before. How do I get it to work again?
Q013,Why wasn't my bank balance updated?
Q014,I think the top up failed
Q015,"A card has been sent to me, how do I track it?"
Q016,I entered a wrong PIN too many times. How can I fix this?
Q017,Can you tell me why my transfer is failing and help resolve?
Q018,The app won't let me log in as myself.
Q019,My statement shows different transaction times.
Q020,Can you please advise if there is something wrong with my card? I have had multiple rejections and do not know the reason. Thanks!
Q021,I think I deserve a refunded on a certain item.
Q022,What do I have to do to get my PIN unblocked?
Q023,I have been double charged
Q024,I am on vacation in Spain and think someone saw my pin when… Can I change it at a local ATM?
Q025,I need a refund?
Q026,I want to return an item.
Q027,"Hi, I am on vacation in Spain and someone stole my bag with my phone and wallet with cards and everything. Can you block it ASAP and then I want to order a new one also ASAP."
Q028,How do I know if my top up worked?
Q029,I've just been married and need to update my name
Q030,This card payment isn't is recognition.
Q031,Can I change my PIN at any ATM?
Q032,My account seems a bit off and getting weird charges.
Q033,"My top-up failed, WHY?"
Q034,I topped up but the app denied it
Q035,I just initiated a transfer but I'd like to cancel it.
Q036,Can I unblock my pin using the app?
Q037,I found an unauthorized card payment
Q038,I tried to top up my account and it didn't work
Q039,How do I apply for a refund?
Q040,I have been charged twice
Q041,please tell me why my top-up failed.
Q042,Am I allowed to change my PIN anywhere?
Q043,I haven't received my card.
Q044,I just moved. How do I give you my new address?
Q045,Why is it saying I have a pending payment?
Q046,There is a payment made with my card that I don't recognize at all.
Q047,Can you help my fix my contactless?
Q048,I dont see my reciept
Q049,still waiting on my new card
Q050,"Hello, I see that I have been charged an extra $1 on my app.  Could you please provide me with a reason for this charge?"
Q051,Can I change my in at all ATM's?
Q052,I have an incorrect charge and would like a refund.
Q053,"My card got blocked, how do I reset?"
Q054,I need to cancel my card.  There are a few charges from a couple days ago that I didn't make.  Can I get credit for these charges?
Q055,I lost my card n need a new one.
Q056,Why is this payment on my app
Q057,"One of my card payments, I don't recognise the name of the merchant."
Q058,Can you walk me through how I can edit some of my personal information?
Q059,How can I fix a problem where contactless isn't working?
Q060,I made a transfer and am still waiting.
Q061,I need to update my personal details
Q062,What is the tracking number for my card that was mailed?
Q063,I have been charged twice for the same thing!
Q064,I transferred some money but the receiver can't pick it up for some reason.
Q065,"I have made 5 attempts to make a very standard survey, yet I can't get it to work. What is the problem? Is there an issue related to your system?"
Q066,How much time do transfers typically take? I sent money to a friend who needs it urgently. It's been hours and has not gone through.
Q067,Too many times I entered the incorrect PIN.  How can I get my account unblocked?
Q068,Can I get some help to get me card activated?
Q069,I bought some stuff this morning but the payment shows as pending
Q070,My card won't work.
Q071,I purchased this item and would like a refund
Q072,Where can I change my PIN?
Q073,What should I do if I exceed my PIN tries?
Q074,Is my new card activated?
Q075,How do I use contactless pay?
Q076,"Hi, I'm trying to purchase a flat and I'm needing the first payment for the mortgage to go through on the flat I'm trying to buy. For some reason I keep getting an error.can you assist in making this transfer? What is going on?"
Q077,What is the dollar that I have pending on my statement there?
Q078,How do I update the PIN on my account?
Q079,I need to order a new card as my other one was stolen.
Q080,Why do I see an extra fee on my statement?
Q081,I did not do this payment
Q082,I am being charged a pound out of nowhere. What is this?
Q083,How long does it take for my id to verify?
Q084,Tell me how to setup a new PIN.
Q085,How is my card payment still pending?
Q086,"I got a transfer fail message, but no explanation of why-- what happened?"
Q087,I added money but my top-up wasn't processed by the app.
Q088,How long does it take for me to get my new card?
Q089,please cancel the transaction
Q090,I need to freeze my card. There are charges on there that i did not authorize. They've been coming out for a couple of days. Can i get this money back?
Q091,Is the 1 pound charge going to be reimbursed on my card?
Q092,My card hasn't arrived yet.
Q093,"It's been over a month and i still haven't received my goods! I ordered a pencil for crying out loud, it's not that hard to deliver that! I'm done with these people, give me a refund immediately! I'll search for my Japanese exclusive pencil elsewhere!"
Q094,I would like to get help from someone with activating my card.
Q095,There has been a charge pending on my account statement that I can't figue out it's for a dollar.
Q096,I think I was charged double for something I bought - how long should I wait before reporting this?
Q097,What is the activation process on my new card?
Q098,"My marital status has change, I got to correct my name to reflect that."
Q099,Can you tell me if I can track the card you sent me?
Q100,I need help with understanding why my card is not working.
Q101,There's a payment with my card that I definitely didn't create. I don't know anyone by that name.
Q102,The  money I transferred does not show in the balance.
Q103,"After putting in the wrong PIN too many times, I was blocked. Can you assist me in changing it?"
Q104,Can someone assist me with activating my card?
Q105,How long will my payment be pending?
Q106,Would like to use my card and need to activate it first.  Can you help me do this?
Q107,How do I go about changing my address?
Q108,There's a card payment I didn't make
Q109,How can I get my card to work?
Q110,A transaction is repeated several times on my account.
Q111,"My PIN is blocked, what do I do?"
Q112,My transfer failed when I tried.
Q113,I made a payment with my card and it hasn't changed. How long do you think this will take?
Q114,Recipient has not received the money
Q115,I'm still waiting on my identity verification.
Q116,I'm quite confused as to what is going on. There is some odd extra pound charge on my statement in the app that's just listed as pending and doesn't go away since a couple days.
Q117,My friend still hasn't gotten a transaction I made.
Q118,My card doesn't accept any transaction at all. What's wrong??
Q119,How do I know if my top up was unsuccessful?
Q120,Why won't my card accept any transactions?
Q121,How do I get my card to work?
Q122,What's the expected wait time to recieve my new card?
Q123,I believe my top up has failed
Q124,"I was supposed to receive my new card by now, but it hasn't came in."
Q125,Where did this 1 euro fee come from?
Q126,"I've tried many times to make a payment, but it's not going through.  What's wrong?"
Q127,How can I activate my new card? I didn't recieve any information with it about how to do so.
Q128,I'm still awaiting for the completion of the transaction.
Q129,I just realized I made the wrong transaction  yesterday. Would  you please make it correct?I need it by tomorrow.
Q130,What do I do if my card was stolen.
Q131,The app does not recognize who I am.
Q132,I need to activate my card.
Q133,"My card still hasn't arrived after two weeks, now what?"
Q134,The app says my transfer failed
Q135,My card was declined at a restaurant today and I don't know what the problem is.
Q136,Why did my card payment not work?
